Title:,"Time Series, Area-Averaged of Relative Humidity (Daytime/Ascending, AIRS-only) monthly 1 (monthly)"
User Start Date:,2002-09-01T00:00:00Z
User End Date:,2023-11-30T23:59:59Z
User Bounding Box:,"-74.8828,-33.6182,-34.4531,6.46"
Data Bounding Box:,"-74.5,-33.5,-34.5,5.5"
URL to Reproduce Results:,"https://giovanni.gsfc.nasa.gov/giovanni/#service=ArAvTs&starttime=2002-09-01T00:00:00Z&endtime=2023-11-30T23:59:59Z&bbox=-74.8828,-33.6182,-34.4531,6.46&data=AIRS3STM_006_RelHum_A_H2OPrsLvls_A(z%3D1000)&portal=GIOVANNI&format=json"
Fill Value (mean_AIRS3STM_006_RelHum_A_H2OPrsLvls_A):, -9999

time, mean_AIRS3STM_006_RelHum_A_H2OPrsLvls_A
2002-09-01 00:00:00,59.4169693
2002-10-01 00:00:00,63.483345
2002-11-01 00:00:00,65.1407852
2002-12-01 00:00:00,67.4129028
2003-01-01 00:00:00,67.2191544
2003-02-01 00:00:00,68.9826736
2003-03-01 00:00:00,66.4527512
2003-04-01 00:00:00,65.3858795
2003-05-01 00:00:00,64.3842697
2003-06-01 00:00:00,65.5668182
2003-07-01 00:00:00,61.4993439
2003-08-01 00:00:00,59.8284073
2003-09-01 00:00:00,60.4939117
2003-10-01 00:00:00,62.3619652
2003-11-01 00:00:00,65.0845871
2003-12-01 00:00:00,67.4501877
2004-01-01 00:00:00,68.5204086
2004-02-01 00:00:00,67.3441086
2004-03-01 00:00:00,68.0555344
2004-04-01 00:00:00,68.1505356
2004-05-01 00:00:00,68.492691
2004-06-01 00:00:00,66.0012665
2004-07-01 00:00:00,64.3123398
2004-08-01 00:00:00,61.2392197
2004-09-01 00:00:00,61.5369911
2004-10-01 00:00:00,63.3459167
2004-11-01 00:00:00,64.3425522
2004-12-01 00:00:00,66.1559143
2005-01-01 00:00:00,66.6063919
2005-02-01 00:00:00,67.9682159
2005-03-01 00:00:00,67.1756134
2005-04-01 00:00:00,68.0791855
2005-05-01 00:00:00,67.6111145
2005-06-01 00:00:00,68.4421768
2005-07-01 00:00:00,62.0362701
2005-08-01 00:00:00,60.845108
2005-09-01 00:00:00,61.2352524
2005-10-01 00:00:00,63.5230103
2005-11-01 00:00:00,63.9591064
2005-12-01 00:00:00,66.2318954
2006-01-01 00:00:00,67.6880264
2006-02-01 00:00:00,67.6871872
2006-03-01 00:00:00,68.3377228
2006-04-01 00:00:00,66.3884735
2006-05-01 00:00:00,66.2721329
2006-06-01 00:00:00,65.1090317
2006-07-01 00:00:00,64.4104843
2006-08-01 00:00:00,60.7940826
2006-09-01 00:00:00,59.8179207
2006-10-01 00:00:00,64.0604858
2006-11-01 00:00:00,65.0108795
2006-12-01 00:00:00,68.5882111
2007-01-01 00:00:00,69.0006485
2007-02-01 00:00:00,66.2633133
2007-03-01 00:00:00,68.10186
2007-04-01 00:00:00,67.6652527
2007-05-01 00:00:00,66.7439423
2007-06-01 00:00:00,65.0083923
2007-07-01 00:00:00,61.781086
2007-08-01 00:00:00,61.534771
2007-09-01 00:00:00,61.9997368
2007-10-01 00:00:00,64.6634674
2007-11-01 00:00:00,64.0683899
2007-12-01 00:00:00,66.1880341
2008-01-01 00:00:00,68.0462265
2008-02-01 00:00:00,66.4933319
2008-03-01 00:00:00,65.6911316
2008-04-01 00:00:00,65.0096741
2008-05-01 00:00:00,66.8321915
2008-06-01 00:00:00,65.1141357
2008-07-01 00:00:00,63.1778297
2008-08-01 00:00:00,62.3073769
2008-09-01 00:00:00,61.9993515
2008-10-01 00:00:00,63.2111702
2008-11-01 00:00:00,65.2861938
2008-12-01 00:00:00,64.9771423
2009-01-01 00:00:00,65.591507
2009-02-01 00:00:00,67.8467255
2009-03-01 00:00:00,66.7851257
2009-04-01 00:00:00,65.6915588
2009-05-01 00:00:00,67.9695816
2009-06-01 00:00:00,65.2137146
2009-07-01 00:00:00,63.8960915
2009-08-01 00:00:00,60.9281311
2009-09-01 00:00:00,61.954586
