Title:,"Time Series, Area-Averaged of Surface Temperature (Daytime/Ascending, (monthly))"
User Start Date:,2002-09-01T00:00:00Z
User End Date:,2023-11-30T23:59:59Z
User Bounding Box:,""
Data Bounding Box:,""
URL to Reproduce Results:,"https://giovanni.gsfc.nasa.gov/giovanni/#service=ArAvTs&starttime=2002-09-01T00:00:00Z&endtime=2023-11-30T23:59:59Z&shape=state_dept_countries_2017/shp_32&&data=AIRS3STM_006_SurfSkinTemp_A(units%3DC)&portal=GIOVANNI&format=json"
Fill Value (mean_AIRS3STM_006_SurfSkinTemp_A):, -9999

time, mean_AIRS3STM_006_SurfSkinTemp_A
2002-09-01 00:00:00,34.4605942
2002-10-01 00:00:00,35.8624191
2002-11-01 00:00:00,34.3485031
2002-12-01 00:00:00,32.932518
2003-01-01 00:00:00,31.9748478
2003-02-01 00:00:00,31.1491032
2003-03-01 00:00:00,30.4861698
2003-04-01 00:00:00,30.2468204
2003-05-01 00:00:00,29.5888309
2003-06-01 00:00:00,30.1882572
2003-07-01 00:00:00,31.0741215
2003-08-01 00:00:00,32.7492599
2003-09-01 00:00:00,34.6255722
2003-10-01 00:00:00,35.2636032
2003-11-01 00:00:00,34.1678391
2003-12-01 00:00:00,33.7539597
2004-01-01 00:00:00,31.2606754
2004-02-01 00:00:00,30.2191715
2004-03-01 00:00:00,30.7700138
2004-04-01 00:00:00,30.4565983
2004-05-01 00:00:00,28.3606205
2004-06-01 00:00:00,28.9323673
2004-07-01 00:00:00,29.7789555
2004-08-01 00:00:00,33.4584274
2004-09-01 00:00:00,35.5162888
2004-10-01 00:00:00,35.1172409
2004-11-01 00:00:00,34.5751266
2004-12-01 00:00:00,33.449028
2005-01-01 00:00:00,32.1457138
2005-02-01 00:00:00,31.8432865
2005-03-01 00:00:00,30.9532413
2005-04-01 00:00:00,30.3426762
2005-05-01 00:00:00,29.5973759
2005-06-01 00:00:00,29.6847172
2005-07-01 00:00:00,31.0174809
2005-08-01 00:00:00,34.0571518
2005-09-01 00:00:00,34.6680527
2005-10-01 00:00:00,35.8429794
2005-11-01 00:00:00,34.281456
2005-12-01 00:00:00,31.9402714
2006-01-01 00:00:00,32.6892014
2006-02-01 00:00:00,31.5049076
2006-03-01 00:00:00,30.4995975
2006-04-01 00:00:00,29.4520817
2006-05-01 00:00:00,28.6545048
2006-06-01 00:00:00,29.4044743
2006-07-01 00:00:00,31.4512272
2006-08-01 00:00:00,34.0272446
2006-09-01 00:00:00,34.6533737
2006-10-01 00:00:00,34.2051315
2006-11-01 00:00:00,33.0561752
2006-12-01 00:00:00,32.369194
2007-01-01 00:00:00,32.1447372
2007-02-01 00:00:00,30.7258854
2007-03-01 00:00:00,31.1181583
2007-04-01 00:00:00,30.6919193
2007-05-01 00:00:00,29.6376896
2007-06-01 00:00:00,30.6175175
2007-07-01 00:00:00,31.3306828
2007-08-01 00:00:00,33.8698349
2007-09-01 00:00:00,35.7711411
2007-10-01 00:00:00,36.2366867
2007-11-01 00:00:00,34.8750229
2007-12-01 00:00:00,33.0035019
2008-01-01 00:00:00,30.9562931
2008-02-01 00:00:00,30.7927494
2008-03-01 00:00:00,29.5902042
2008-04-01 00:00:00,29.5104008
2008-05-01 00:00:00,28.6553898
2008-06-01 00:00:00,28.9234257
2008-07-01 00:00:00,31.6420231
2008-08-01 00:00:00,34.2870712
2008-09-01 00:00:00,35.3466415
2008-10-01 00:00:00,35.7242661
2008-11-01 00:00:00,34.2648544
2008-12-01 00:00:00,32.1690292
2009-01-01 00:00:00,31.4010868
2009-02-01 00:00:00,30.6575565
2009-03-01 00:00:00,31.0116215
2009-04-01 00:00:00,29.7015629
2009-05-01 00:00:00,28.7158756
2009-06-01 00:00:00,28.1912479
2009-07-01 00:00:00,30.4630375
2009-08-01 00:00:00,33.155632
2009-09-01 00:00:00,34.4088669
2009-10-01 00:00:00,34.373436
2009-11-01 00:00:00,34.2735519
2009-12-01 00:00:00,32.0282516
2010-01-01 00:00:00,31.7255497
