Title:,"Time Series, Area-Averaged of Air temperature at surface (Daytime/Ascending) monthly (monthly)"
User Start Date:,2002-09-01T00:00:00Z
User End Date:,2016-10-31T23:59:59Z
User Bounding Box:,"-74.8828,-33.6182,-34.4531,6.46"
Data Bounding Box:,"-74.5,-33.5,-34.5,5.5"
URL to Reproduce Results:,"https://giovanni.gsfc.nasa.gov/giovanni/#service=ArAvTs&starttime=2002-09-01T00:00:00Z&endtime=2016-10-31T23:59:59Z&bbox=-74.8828,-33.6182,-34.4531,6.46&data=AIRX3STM_006_SurfAirTemp_A(units%3DC)&portal=GIOVANNI&format=json"
Fill Value (mean_AIRX3STM_006_SurfAirTemp_A):, -9999

time, mean_AIRX3STM_006_SurfAirTemp_A
2002-09-01 00:00:00,25.7944584
2002-10-01 00:00:00,26.8406315
2002-11-01 00:00:00,26.4142094
2002-12-01 00:00:00,26.2463627
2003-01-01 00:00:00,26.3964176
2003-02-01 00:00:00,26.357172
2003-03-01 00:00:00,25.853754
2003-04-01 00:00:00,25.3962955
2003-05-01 00:00:00,24.7409306
2003-06-01 00:00:00,24.7129154
2003-07-01 00:00:00,24.2740726
2003-08-01 00:00:00,24.6382389
2003-09-01 00:00:00,25.7502689
2003-10-01 00:00:00,26.1619816
2003-11-01 00:00:00,26.6370792
2003-12-01 00:00:00,26.4152164
2004-01-01 00:00:00,26.333704
2004-02-01 00:00:00,25.9706059
2004-03-01 00:00:00,26.0338688
2004-04-01 00:00:00,25.656641
2004-05-01 00:00:00,23.9652348
2004-06-01 00:00:00,23.8451786
2004-07-01 00:00:00,23.6304264
2004-08-01 00:00:00,25.106226
2004-09-01 00:00:00,26.1752262
2004-10-01 00:00:00,26.0841923
2004-11-01 00:00:00,26.2440739
2004-12-01 00:00:00,26.3943119
2005-01-01 00:00:00,26.40658
2005-02-01 00:00:00,26.090662
2005-03-01 00:00:00,26.081934
2005-04-01 00:00:00,25.3524723
2005-05-01 00:00:00,24.4710026
2005-06-01 00:00:00,24.267786
2005-07-01 00:00:00,24.0410099
2005-08-01 00:00:00,25.4501896
2005-09-01 00:00:00,25.3070316
2005-10-01 00:00:00,26.3555851
2005-11-01 00:00:00,26.2584171
2005-12-01 00:00:00,25.8617191
2006-01-01 00:00:00,26.5101261
2006-02-01 00:00:00,26.5863285
2006-03-01 00:00:00,26.2783756
2006-04-01 00:00:00,25.2562199
2006-05-01 00:00:00,23.9582767
2006-06-01 00:00:00,23.8185673
2006-07-01 00:00:00,24.4474735
2006-08-01 00:00:00,25.1764164
2006-09-01 00:00:00,25.4697514
2006-10-01 00:00:00,25.8767338
2006-11-01 00:00:00,25.8612614
2006-12-01 00:00:00,25.7976322
2007-01-01 00:00:00,25.997736
2007-02-01 00:00:00,26.0729313
2007-03-01 00:00:00,26.0235844
